    3.2194235941    0.0000000326   -0.0000006136
    0.0000000122    3.2194098399   -0.0000005839
    0.0000001930   -0.0000002738    2.3421484654
    3.2194003575   -0.0000006320   -0.0000003710
   -0.0000006069    3.2194015605   -0.0000003891
    0.0000002658    0.0000006215    2.3421252988
   -3.2193986726    0.0000003569    0.0000004796
    0.0000002783   -3.2193987200    0.0000004802
   -0.0000037553   -0.0000035107   -2.3421361519
   -3.2194252789    0.0000002426    0.0000005049
    0.0000003163   -3.2194126803    0.0000004929
    0.0000032965    0.0000031630   -2.3421376123
