    0.4404095976    0.0044362384   -0.0063519349
   -0.0046443032    0.4441670513    0.0000277600
   -0.0067246054    0.0060268893    0.5925609162
    0.3035572489    0.0022917694    0.0027482143
    0.0172154537    0.2187777902   -0.1031021144
   -0.0520504076   -0.0707882063   -0.0417966037
    0.3049552668    0.0039293100    0.0029070298
   -0.0231970568    0.3772940983    0.1029972692
    0.0914803603    0.0123383665   -0.1019959411
    0.2051968387    0.0058233670   -0.0002896777
    0.0322108745    0.1692057162   -0.3926742597
   -0.0166350937    0.0048492510    0.2444927179
    0.2046006830    0.0033589001    0.0010367429
   -0.0234380859    0.2521539097    0.3923777502
   -0.0030621305    0.0179439994    0.3193767748
   -0.7279066232   -0.0068240691    0.0017330724
    0.0158674028   -0.5516604985   -0.4327127085
   -0.0021150399    0.0177437706   -0.3956961314
   -0.7308130118   -0.0130155158   -0.0017834468
   -0.0140142850   -0.9099380671    0.4330863033
   -0.0108930832    0.0118859296   -0.6169417326
