  -55.5550752591  -17.0754512349   -5.6825118704  -19.1596449834  -11.4637483253  -22.1174352124
  -22.1175155874    5.6828298045  -11.4637394600  -55.5548553498   17.0748492786  -19.1593172253
   19.1598045594  -11.4639373449  -17.0747860499   22.1178892806    5.6829248402   55.5553564626
   55.5557837941   17.0749177809   -5.6830695285   19.1598383931  -11.4636808225   22.1179279008
   22.1184439523   -5.6830259157  -11.4630762900   55.5549056073   17.0749894074   19.1603120672
   19.1585633564  -11.4636071664   17.0744657386   22.1169000961   -5.6823889655   55.5534145667
  -55.5546459735   17.0748520955    5.6829045987  -19.1594906186  -11.4637771421  -22.1179550367
   22.1177990375    5.6829340963  -11.4637600003   55.5549464171  -17.0750245185   19.1594981810
  -19.1596199721  -11.4637733408  -17.0751800380  -22.1179316778   -5.6829932905  -55.5552087553
   55.5550113085  -17.0750128593    5.6829893006   19.1594726408  -11.4637897707   22.1179590485
  -22.1179734621   -5.6829835100  -11.4637629300  -55.5550671308  -17.0750719798  -19.1594678272
  -19.1595010365  -11.4637877584   17.0749566547  -22.1178510119    5.6829534380  -55.5549774888
  -38.1510277861   26.5784476861  -24.1965753024   49.9401066541   -4.0427906217   23.1644308059
   23.1645543656   24.1966018280   -4.0428818826  -38.1507657200  -26.5785197562   49.9401637514
  -49.9402630157   -4.0428026419   26.5785678223  -23.1645251279   24.1965163508   38.1510067933
   38.1507853264  -26.5784052776  -24.1965261979  -49.9401532342   -4.0429477702  -23.1645794285
  -23.1649373407  -24.1964804435   -4.0428815194   38.1509871179  -26.5785484871  -49.9402586062
  -49.9399779503   -4.0428728171  -26.5784617292  -23.1646913916  -24.1965453878   38.1510430381
  -38.1508773138  -26.5785601854   24.1965905074   49.9403933761   -4.0428657589   23.1645283075
  -23.1645598468   24.1965522394   -4.0428439136   38.1508663301   26.5785354416  -49.9401987214
   49.9400691364   -4.0427418462   26.5784948015   23.1645225361  -24.1965670936  -38.1510304355
   38.1500904597   26.5790111887   24.1963629562  -49.9401972918   -4.0429251193  -23.1652023151
   23.1638078768  -24.1963522442   -4.0435443995  -38.1511598869   26.5783152551   49.9391841867
   49.9409372636   -4.0428801829  -26.5780679273   23.1652819957   24.1959669684  -38.1496338691
  -24.3336645557   -3.1327186728   19.1841193889  -42.9208977469   15.5066550849   -6.7869423447
   -6.7868539936  -19.1842694341   15.5065813295  -24.3332271953    3.1330660008  -42.9207328829
   42.9207727637   15.5066710818   -3.1328552445    6.7873953683  -19.1840740510   24.3336454652
   24.3333464808    3.1328222369   19.1842135714   42.9207654700   15.5065801672    6.7870768401
    6.7871551175   19.1841904080   15.5066389498   24.3333592362    3.1328125775   42.9207740218
   42.9207670263   15.5065592875    3.1327451983    6.7870699654   19.1842063511   24.3333487539
  -24.3333289120    3.1328540432  -19.1842207579  -42.9208886757   15.5065902733   -6.7870894639
    6.7870782209  -19.1842112125   15.5066687928   24.3335855217   -3.1327436294   42.9207575005
  -42.9207812228   15.5066537126   -3.1326621044   -6.7869754696   19.1841703315  -24.3336115403
   24.3336024277   -3.1327568012  -19.1842766666   42.9206960151   15.5066998052    6.7872808982
   -6.7869983401   19.1842143845   15.5066013233  -24.3335749456   -3.1326595898  -42.9207144447
  -42.9207709077   15.5065190169    3.1327828783   -6.7870845655  -19.1841694912  -24.3333529917
